Park,Park_Factor
ARI,-0.012332761010655478
ATL,-4.64176815466839e-4
BAL,1.3487387285111512e-4
BOS,0.0076392292261457505
CHC,-0.003055733022888718
CHW,-0.002863879743963705
CIN,0.00796269325047199
CLE,0.006243668882851202
COL,0.01720033751396202
DET,-0.007706036652402901
HOU,-0.012758286104963646
KCR,4.8166295103092366e-4
LAA,-0.0050203185332011934
LAD,-0.018715956546826458
MIA,-0.026527366735867138
MIL,-0.00743698047619048
MIN,0.002597256458400773
NYM,-0.026704332862836272
NYY,0.011859806104157005
OAK,-0.012528973470722935
PHI,-0.005418315206017009
PIT,-0.014164124946236563
SDP,-0.008973230920421864
SEA,-0.017510051818485157
SFG,-0.017771405405405408
STL,-0.008489079078819337
TBR,-0.013787241608157811
TEX,0.02702587154844838
TOR,0.00045284295410471436
WSN,0.004602806027619817
